function	op_address	mnemonic	matched_constants	pcode
8c065588	8c065744	INDIRECT	0x118	(ram, 0x8c065b84, 4) INDIRECT (ram, 0x8c065b84, 4) , (const, 0x118, 4)
8c065588	8c065744	INDIRECT	0x118	(ram, 0x8c065b88, 4) INDIRECT (ram, 0x8c065b88, 4) , (const, 0x118, 4)
8c065588	8c065744	INDIRECT	0x118	(ram, 0x8c065b8c, 4) INDIRECT (ram, 0x8c065b8c, 4) , (const, 0x118, 4)
8c065588	8c065744	INDIRECT	0x118	(ram, 0x8c065b90, 4) INDIRECT (ram, 0x8c065b90, 4) , (const, 0x118, 4)
8c065588	8c065744	INDIRECT	0x118	(ram, 0x8c065ce2, 2) INDIRECT (ram, 0x8c065ce2, 2) , (const, 0x118, 4)
8c065588	8c065744	INDIRECT	0x118	(ram, 0x8c065ce4, 2) INDIRECT (ram, 0x8c065ce4, 2) , (const, 0x118, 4)
8c065588	8c065744	INDIRECT	0x118	(ram, 0x8c065ce6, 2) INDIRECT (ram, 0x8c065ce6, 2) , (const, 0x118, 4)
8c065588	8c065744	INDIRECT	0x118	(ram, 0x8c065ce8, 4) INDIRECT (ram, 0x8c065ce8, 4) , (const, 0x118, 4)
8c065588	8c065744	INDIRECT	0x118	(ram, 0x8c065cec, 4) INDIRECT (ram, 0x8c065cec, 4) , (const, 0x118, 4)
8c065588	8c065744	INDIRECT	0x118	(ram, 0x8c065cf0, 4) INDIRECT (ram, 0x8c065cf0, 4) , (const, 0x118, 4)
8c065588	8c065744	INDIRECT	0x118	(ram, 0x8c065cf4, 4) INDIRECT (ram, 0x8c065cf4, 4) , (const, 0x118, 4)
8c065588	8c065744	INDIRECT	0x118	(ram, 0x8c065cf8, 4) INDIRECT (ram, 0x8c065cf8, 4) , (const, 0x118, 4)
8c065588	8c065744	INDIRECT	0x118	(ram, 0x8c065cfc, 4) INDIRECT (ram, 0x8c065cfc, 4) , (const, 0x118, 4)
8c065588	8c065744	INDIRECT	0x118	(ram, 0x8c065d00, 4) INDIRECT (ram, 0x8c065d00, 4) , (const, 0x118, 4)
8c065588	8c065744	INDIRECT	0x118	(stack, 0xffffffffffffffdc, 8) INDIRECT (stack, 0xffffffffffffffdc, 8) , (const, 0x118, 4)
