# Functions with BOTH 0x008c literal refs AND small-offset reads in [0x24, 0xa4)
# These are candidate cmd=2 sync struct consumers (powerup state readers).

8c0d5678 FUN_8c0d5678 -> 2 0x008c lits, reads at: 0x30 0x28 0x2c
8c14c8fc FUN_8c14c8fc -> 1 0x008c lits, reads at: 0x30 0x24 0x34 0x38 0x2c
8c15d7b2 FUN_8c15d7b2 -> 1 0x008c lits, reads at: 0x30 0x2c
8c0d0550 FUN_8c0d0550 -> 1 0x008c lits, reads at: 0x30 0x24 0x2c
8c04fe50 FUN_8c04fe50 -> 1 0x008c lits, reads at: 0x24
8c16e03c FUN_8c16e03c -> 2 0x008c lits, reads at: 0x30 0x34 0x3c
8c169ed8 FUN_8c169ed8 -> 1 0x008c lits, reads at: 0x30 0x24 0x34 0x28 0x38 0x2c 0x3c
8c05a478 FUN_8c05a478 -> 1 0x008c lits, reads at: 0x24
8c156d66 FUN_8c156d66 -> 1 0x008c lits, reads at: 0x30 0x24 0x3c 0x2c
8c118552 FUN_8c118552 -> 1 0x008c lits, reads at: 0x24 0x28 0x3c 0x2c
8c12f718 FUN_8c12f718 -> 1 0x008c lits, reads at: 0x2c
8c0cef04 FUN_8c0cef04 -> 1 0x008c lits, reads at: 0x30 0x24 0x38 0x2c
8c11308a FUN_8c11308a -> 1 0x008c lits, reads at: 0x34
8c0eedf8 FUN_8c0eedf8 -> 1 0x008c lits, reads at: 0x28
8c0a0c0c FUN_8c0a0c0c -> 1 0x008c lits, reads at: 0x24 0x2c
8c0aacb6 FUN_8c0aacb6 -> 1 0x008c lits, reads at: 0x30 0x28 0x3c
8c1f2b9c _mwRnaDiscardData -> 1 0x008c lits, reads at: 0x30 0x34 0x28 0x38
8c15dc94 FUN_8c15dc94 -> 2 0x008c lits, reads at: 0x30 0x24 0x34 0x28 0x38 0x2c 0x3c
8c06072e FUN_8c06072e -> 1 0x008c lits, reads at: 0x28 0x2c
8c11363e FUN_8c11363e -> 1 0x008c lits, reads at: 0x34
8c0eda18 FUN_8c0eda18 -> 1 0x008c lits, reads at: 0x28
8c200cb4 _njCnkEasyTextureBumpClip -> 1 0x008c lits, reads at: 0x30 0x24 0x28 0x2c
8c113530 FUN_8c113530 -> 1 0x008c lits, reads at: 0x28
8c112f5e FUN_8c112f5e -> 1 0x008c lits, reads at: 0x28

# total candidate consumers: 141
